molecule,augmented_lalas,lalas,n_rings,n_branching_points,n_secondary_branching_points,n_LAL,L_ratio,longest_L,longest_L_degeneracy,second_longest_L,A_ratio,A_ratio_insensitive,Aa_ratio,longest_A,longest_A_insensitive,longest_A_degeneracy,second_longest_A,second_longest_A_insensitive
hc_c34h20_0pent_283,ALaAAa,ALAAAA,8,0,0,0,0.1667,1,1,0,0.5000,0.8333,0.6667,2,4,1,1,1
hc_c34h20_0pent_284,ALAaaA,ALAAAA,8,0,0,0,0.1667,1,1,0,0.5000,0.8333,0.6667,2,4,1,1,1
hc_c34h20_0pent_285,LAa()aA,LAA()AA,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,2,4,1,1,0
hc_c34h20_0pent_286,LAAa()L,LAAA()L,8,1,0,0,0.3333,1,2,0,0.3333,0.5000,0.5000,2,3,1,1,0
hc_c34h20_0pent_287,LAAaLA,LAAALA,8,0,0,0,0.3333,1,2,0,0.5000,0.6667,0.3333,2,3,1,1,1
hc_c34h20_0pent_288,LAAaLa,LAAALA,8,0,0,0,0.3333,1,2,0,0.3333,0.6667,1.0000,2,3,1,1,1
hc_c34h20_0pent_289,LAA()aL,LAA()AL,8,1,0,0,0.3333,1,2,0,0.3333,0.5000,0.5000,2,3,1,1,0
hc_c34h20_0pent_29,AAAaaA,AAAAAA,8,0,0,0,0.0000,0,7,0,0.6667,1.0000,0.5000,3,6,1,2,0
hc_c34h20_0pent_290,LA()AaL,LA()AAL,8,1,0,0,0.3333,1,2,0,0.3333,0.5000,0.5000,2,3,1,1,0
hc_c34h20_0pent_291,LAaaLA,LAAALA,8,0,0,0,0.3333,1,2,0,0.3333,0.6667,1.0000,2,3,1,1,1
